date,ranking,title,writer,press,kategorie
202401,101,해커스 토익 LC Listening(리스닝) 기본서,David Cho 지음,해커스어학연구소(Hackers),외국어
202402,101,월간순정 노자키 군 15,츠바키 이즈미 지음,학산문화사(만화),만화
202301,101,데일 카네기 자기관리론,"데일 카네기 지음, 임상훈 옮김",현대지성,자기계발
202302,101,트렌드 코리아 2023,김난도 외 지음,미래의창,경제경영
202303,101,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡
202304,101,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,이노우에 타케히코 지음,대원씨아이(만화),만화
202305,101,디베이터,"서보현 지음, 정혜윤 옮김",문학동네,인문학
202306,101,최애의 아이 1,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),만화
202307,101,EBS 다큐프라임 자본주의,EBS 자본주의 제작팀 지음,가나출판사,경제경영
202308,101,마케팅 설계자,"러셀 브런슨 지음, 이경식 옮김",윌북,경제경영
202309,101,참을 수 없는 존재의 가벼움,"밀란 쿤데라 지음, 이재룡 옮김",민음사,소설/시/희곡
202310,101,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡
202311,101,아주 희미한 빛으로도,최은영 지음,문학동네,소설/시/희곡
202312,101,너는 다시 외로워질 것이다,공지영 지음,해냄,에세이
202203,101,"칵테일, 러브, 좀비",조예은 지음,안전가옥,소설/시/희곡
202204,101,2022 심우철 실전동형 모의고사 Season 3,심우철 지음,심슨북스,수험서/자격증
202205,101,설민석의 한국사 대모험 21,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수",단꿈아이,어린이
202206,101,밀알의 양식을 주시옵고,이자혜 지음,중앙books(중앙북스),만화
202207,101,부의 추월차선 (10주년 스페셜 에디션),"엠제이 드마코 지음, 신소영 옮김",토트,경제경영
202208,101,순례 주택,유은실 지음,비룡소,청소년
202209,101,재수사 2,장강명 지음,은행나무,소설/시/희곡
202210,101,작별인사 (밤하늘 에디션),김영하 지음,복복서가,소설/시/희곡
202211,101,잘될 수밖에 없는 너에게,최서영 지음,북로망스,에세이
202212,101,읽으면서 바로 써먹는 어린이 급수 한자 : 6·7·8급,한날 지음,파란정원,어린이
202401,102,기도를 송두리째 바꾸신 예수 그리스도,박리부가 지음,규장(규장문화사),종교/역학
202402,102,최재천의 곤충사회,최재천 지음,열림원,에세이
202301,102,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음,웨일북,인문학
202302,102,소설가라는 이상한 직업,장강명 지음,유유히,에세이
202303,102,건강과 다이어트를 동시에 잡는 7대 3의 법칙 채소·과일식,조승우 지음,바이북스,건강/취미
202304,102,에이징 솔로,김희경 지음,동아시아,사회과학
202305,102,몰입 : 인생을 바꾸는 자기 혁명,황농문 지음,랜덤하우스코리아,자기계발
202306,102,미드나잇 뮤지엄 : 파리,박송이 지음,빅피시,예술/대중문화
202307,102,2024 유휘운 행정법총론 요약노트 + 기출문제 (요플) - 전2권,유휘운 지음,메가스터디교육(공무원),수험서/자격증
202308,102,아버지의 해방일지,정지아 지음,창비,소설/시/희곡
202309,102,상황과 이야기,"비비언 고닉 지음, 이영아 옮김",마농지,인문학
202310,102,파브르 식물기,"장 앙리 파브르 지음, 조은영 옮김",휴머니스트,과학
202311,102,극락가 1,사노 유토 지음,대원씨아이(만화),만화
202312,102,행동,"로버트 M. 새폴스키 지음, 김명남 옮김",문학동네,과학
202203,102,거의 모든 행동 표현의 영어,서영조 지음,사람in,외국어
202204,102,나는 대출 없이 0원으로 소형 아파트를 산다,잭파시(최경천) 지음,다산북스,경제경영
202205,102,나의 투자는 새벽 4시에 시작된다,유목민 지음,리더스북,경제경영
202206,102,굿모닝 해빗,"멜 로빈스 지음, 강성실 옮김",쌤앤파커스,자기계발
202207,102,설민석의 한국사 대모험 21,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수",단꿈아이,어린이
202208,102,멘탈을 바꿔야 인생이 바뀐다,박세니 지음,마인드셋,자기계발
202209,102,과거가 남긴 우울 미래가 보낸 불안,김아라 지음,유노북스,인문학
202210,102,그 길로 갈 바엔,재활용 외 지음,문학동네,만화
202211,102,눈에 보이지 않는 지도책,"제임스 체셔.올리버 우버티 지음, 송예슬 옮김",윌북,사회과학
202212,102,불안,"알랭 드 보통 지음, 정영목 옮김",은행나무,에세이
202401,103,구의 증명,최진영 지음,은행나무,소설/시/희곡
202402,103,"뇌, 욕망의 비밀을 풀다","한스-게오르크 호이젤 지음, 강영옥 외 옮김",비즈니스북스,경제경영
202301,103,스즈메의 문단속 (스페셜 에디션),"신카이 마코토 지음, 민경욱 옮김",대원씨아이(단행본),소설/시/희곡
202302,103,시간이 있었으면 좋겠다,김신지 지음,잠비,에세이
202303,103,마법천자문 57,"유대영 지음, 정수영 그림, 강용철 감수",아울북,어린이
202304,103,만일 내가 인생을 다시 산다면 (30만 부 기념 스페셜 에디션),김혜남 지음,메이븐,인문학
202305,103,챗GPT 거대한 전환,김수민.백선환 지음,알에이치코리아(RHK),경제경영
202306,103,몰입 합본판 (100쇄 기념 합본 에디션),황농문 지음,알에이치코리아(RHK),자기계발
202307,103,한성이 서울에게,"이현지 지음, 김규택 그림",비룡소,어린이
202308,103,코스모스,"칼 세이건 지음, 홍승수 옮김",사이언스북스,과학
202309,103,달의 아이,최윤석 지음,포레스트북스,소설/시/희곡
202310,103,1%를 읽는 힘,메르 지음,토네이도,경제경영
202311,103,부자수업,법상 지음,마음의숲,에세이
202312,103,장하리,추미애 지음,해피스토리,소설/시/희곡
202203,103,훌훌,문경민 지음,문학동네,청소년
202204,103,"칵테일, 러브, 좀비",조예은 지음,안전가옥,소설/시/희곡
202205,103,타이탄의 도구들 (알라딘 단독 리커버),"팀 페리스 지음, 박선령.정지현 옮김",토네이도,자기계발
202206,103,진짜 쓰는 실무 엑셀,오빠두(전진권) 지음,제이펍,컴퓨터/모바일
202207,103,도올주역강해,김용옥 지음,통나무,인문학
202208,103,흑뢰성,"요네자와 호노부 지음, 김선영 옮김",리드비,소설/시/희곡
202209,103,이상한 변호사 우영우 1,문지원 지음,김영사,예술/대중문화
202210,103,저스트.킵.바잉,"닉 매기울리 지음, 오수원 옮김, 이상건 감수",서삼독,경제경영
202211,103,그리스 로마 신화 31 : 아이네이아스의 새로운 여정,"박시연 지음, 최우빈 그림, 김헌 감수",아울북,어린이
202212,103,슬픔의 방문,장일호 지음,낮은산,에세이
202401,104,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡
202402,104,해커스 보카 (Hackers Vocabulary),David Cho 지음,해커스어학연구소(Hackers),외국어
202301,104,2023 써니 행정법총론 핵심집약 (기출지문 암기 App 이용쿠폰 제공),박준철 지음,지금(도서출판),수험서/자격증
202302,104,"오늘 밤, 세계에서 이 눈물이 사라진다 해도","이치조 미사키 지음, 김윤경 옮김",모모,소설/시/희곡
202303,104,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),"로버트 기요사키 지음, 안진환 옮김",민음인,경제경영
202304,104,헌터x헌터 HunterXHunter 신장판 37,토가시 요시히로 지음,학산문화사(만화),만화
202305,104,투자의 역사는 반드시 되풀이된다,정광우 지음,포레스트북스,경제경영
202306,104,그 책은,"요시타케 신스케.마타요시 나오키 지음, 양지연 옮김",김영사,에세이
202307,104,흔한남매 수수께끼 어드벤처 3,"도니패밀리 그림, 노지영 글, 흔한컴퍼니.정재형 감수, 흔한남매 원작",미래엔아이세움,어린이
202308,104,신의 역사,"카렌 암스트롱 지음, 배국원 외 옮김",교양인,인문학
202309,104,정재승의 인간 탐구 보고서 12,"김현민 그림, 정재은 글, 정재승 기획, 이고은 자문",아울북,어린이
202310,104,하늘과 바람과 별과 인간,김상욱 지음,바다출판사,과학
202311,104,멜랑콜리아 I-II,"욘 포세 지음, 손화수 옮김",민음사,소설/시/희곡
202312,104,오늘부터 초등 지식왕,최선민 지음,클랩북스,어린이
202203,104,부의 추월차선 (10주년 스페셜 에디션),"엠제이 드마코 지음, 신소영 옮김",토트,경제경영
202204,104,숲속의 담 3,다홍 지음,에이템포미디어,만화
202205,104,2022 제5회 한국과학문학상 수상작품집,서윤빈 외 지음,허블,소설/시/희곡
202206,104,벌거벗은 세계사 1,"신동민 그림, 이현희 글, 김헌 외 감수, tvN〈벌거벗은 세계사〉제작팀 기획",아울북,어린이
202207,104,어린이가 알아야 할 오케스트라 사운드북,"샘 태플린 지음, 션 롱크로프트 그림",어스본코리아,유아
202208,104,비비드 패션 연구실,도미(송닷옴) 지음,은행나무,건강/취미
202209,104,지구 끝의 온실 (여름 에디션),김초엽 지음,자이언트북스,소설/시/희곡
202210,104,체인소 맨 3,후지모토 타츠키 지음,학산문화사(만화),만화
202211,104,머니 트렌드 2023,부동산읽어주는남자(정태익) 외 지음,북모먼트,경제경영
202212,104,마틸다 (한정판 스페셜 에디션),"로알드 달 지음, 퀸틴 블레이크 그림, 김난령 옮김",시공주니어,어린이
202401,105,"2024 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)",최태성 지음,이투스북,수험서/자격증
202402,105,홍보의 신,김선태 지음,21세기북스,경제경영
202301,105,2023 ADsP 데이터 분석 준전문가,윤종식 지음,데이터에듀,컴퓨터/모바일
202302,105,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),"로버트 기요사키 지음, 안진환 옮김",민음인,경제경영
202303,105,효기심의 권력으로 읽는 세계사 : 유럽 편,효기심 지음,다산초당(다산북스),역사
202304,105,레버리지 (20만 부 기념 블랙에디션),"롭 무어 지음, 김유미 옮김",다산북스,자기계발
202305,105,2023 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1.2.3급),최태성 지음,이투스북,수험서/자격증
202306,105,최애의 아이 9,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),만화
202307,105,총 균 쇠,"제레드 다이아몬드 지음, 강주헌 옮김",김영사,인문학
202308,105,1일 1분 시력 운동 미로찾기,"와카사키 켄 지음, 박석현 옮김",폴더,건강/취미
202309,105,드루이드가 되고 싶은 당신을 위한 안내서,프로개 지음,드루이드아일랜드,건강/취미
202310,105,2024 써니 행정법총론 핵심집약 (기출지문 암기 App 이용쿠폰 제공),박준철 지음,지금(도서출판),수험서/자격증
202311,105,흔한남매 과학 탐험대 9 : 대기와 날씨,"이태영 외 그림, 김언정 외 글, 흔한컴퍼니 감수, 정현철 외 기획, 흔한남매 원작",주니어김영사,어린이
202312,105,숲속의 담 10 (한정판),다홍 지음,에이템포미디어,만화
202203,105,"오늘 밤, 세계에서 이 사랑이 사라진다 해도","이치조 미사키 지음, 권영주 옮김",모모,소설/시/희곡
202204,105,김경일의 지혜로운 인간생활,김경일 지음,저녁달,인문학
202205,105,SQL 자격검정 실전문제,한국데이터진흥원 지음,한국데이터산업진흥원,컴퓨터/모바일
202206,105,이상한 과자 가게 전천당 14,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,어린이
202207,105,한 개의 기쁨이 천 개의 슬픔을 이긴다 : 일과 선택에 관하여,조우성 지음,서삼독,에세이
202208,105,백년 허리 2 : 치료편,정선근 지음,언탱글링,건강/취미
202209,105,사피엔스 (무선본),"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,인문학
202210,105,설민석의 삼국지 대모험 9,"단꿈아이 지음, 스튜디오 담 그림",단꿈아이,어린이
202211,105,우중괴담,"미쓰다 신조 지음, 현정수 옮김",북로드,소설/시/희곡
202212,105,멘탈리티,"팀 그로버.샤리 웽크 지음, 서종기 옮김",푸른숲,자기계발
202401,106,세상에서 제일 쉬운 사계절 그림 그리기,카모 지음,북스토리,예술/대중문화
202402,106,2024 문동균 한국사 D-30 문단속 모의고사,문동균 지음,에스티유니타스,수험서/자격증
202301,106,"어머니, 사교육을 줄이셔야 합니다",정승익 지음,메이트북스,좋은부모
202302,106,해커스 토익 RC Reading(리딩) 기본서,David Cho 지음,해커스어학연구소(Hackers),외국어
202303,106,2023 수제비 정보처리기사 실기 1권+2권 합본세트 - 전2권,NCS 정보처리기술사 연구회 지음,건기원,컴퓨터/모바일
202304,106,슬램덩크 신장재편판 1,이노우에 타케히코 지음,대원씨아이(만화),만화
202305,106,몰입 합본판 (100쇄 기념 합본 에디션),황농문 지음,알에이치코리아(RHK),자기계발
202306,106,타이탄의 도구들 (블랙 에디션),"팀 페리스 지음, 박선령.정지현 옮김",토네이도,자기계발
202307,106,최애의 아이 1,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),만화
202308,106,머핀 & 비스킷,"오츠보 호마래 지음, 용동희 옮김",수작걸다,요리/살림
202309,106,설민석의 세계사 대모험 18,"설민석.김정욱 지음, 박성일 그림, 박삼헌 감수",단꿈아이,어린이
202310,106,얼굴만으론 좋아할 수 없어요 8,"안자이 카린 지음, 이소연 옮김",서울미디어코믹스(서울문화사),만화
202311,106,일본어 무작정 따라하기 완전판,후지이 아사리 지음,길벗이지톡,외국어
202312,106,소설 보다 : 겨울 2023,김기태.성해나.예소연 지음,문학과지성사,소설/시/희곡
202203,106,아끼고 아낀 말,정세운 지음,위즈덤하우스,에세이
202204,106,밝은 밤,최은영 지음,문학동네,소설/시/희곡
202205,106,안데르센 메르헨 (어린이날 100주년 기념 특별판),"한스 크리스티안 안데르센 지음, 김서정 옮김, 니콜라우스 하이델바흐 그림",문학과지성사,어린이
202206,106,데일 카네기 자기관리론,"데일 카네기 지음, 임상훈 옮김",현대지성,자기계발
202207,106,"큰별쌤 최태성의 별★별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성 지음,이투스북,수험서/자격증
202208,106,열두 살 경제학교,"권오상 지음, 손수정 그림",카시오페아,어린이
202209,106,클루지,"개리 마커스 지음, 최호영 옮김",갤리온,인문학
202210,106,딥 타임,"크리스티앙 클로 지음, 이주영 옮김",웨일북,인문학
202211,106,데미안 (오리지널 초판본 표지디자인),"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,소설/시/희곡
202212,106,죽음의 수용소에서,"빅터 프랭클 지음, 이시형 옮김",청아출판사,인문학
202401,107,Kreyszig 공업수학 (상),"Erwin Kreyszig 지음, 서진헌 외 옮김",텍스트북스(TextBook),대학교재/전문서적
202402,107,진짜 쓰는 실무 엑셀,오빠두(전진권) 지음,제이펍,컴퓨터/모바일
202301,107,흔한남매 12,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,어린이
202302,107,사피엔스 (양장 특별판),"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,인문학
202303,107,해커스 토익 RC Reading(리딩) 기본서,David Cho 지음,해커스어학연구소(Hackers),외국어
202304,107,할머니의 뜰에서,"조던 스콧 지음, 시드니 스미스 그림, 김지은 옮김",책읽는곰,유아
202305,107,모순,양귀자 지음,쓰다,소설/시/희곡
202306,107,집에서 운영하는 작은 빵집 SOFT BREAD,김진호 지음,더테이블,요리/살림
202307,107,클래식 뮤지컬 차이콥스키의 발레곡 호두까기 인형 사운드북,"피오나 와트 지음, 올가 데미도바 그림",어스본코리아,유아
202308,107,유현준의 인문 건축 기행,유현준 지음,을유문화사,인문학
202309,107,도파민네이션,"애나 렘키 지음, 김두완 옮김",흐름출판,인문학
202310,107,부자의 그릇,"이즈미 마사토 지음, 김윤수 옮김",다산북스,경제경영
202311,107,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을","이치조 미사키 지음, 김윤경 옮김",모모,소설/시/희곡
202312,107,데일 카네기 인간관계론 (무삭제 완역본),"데일 카네기 지음, 임상훈 옮김",현대지성,자기계발
202203,107,BTS Piano Sheet Music Package - 전4권,"David Stewart 외 지음, HYBE(하이브) 편곡",HYBE(하이브),예술/대중문화
202204,107,2022 주택과 세금,국세청 부동산납세과 지음,DTW(더존테크윌),경제경영
202205,107,이것은 작은 브랜드를 위한 책,이근상 지음,몽스북,경제경영
202206,107,룬의 아이들 - 블러디드 5,전민희 지음,엘릭시르,소설/시/희곡
202207,107,보통 일베들의 시대,김학준 지음,오월의봄,사회과학
202208,107,넛지 : 파이널 에디션,"리처드 H. 탈러.카스 R. 선스타인 지음, 이경식 옮김, 최정규 감수",리더스북,경제경영
202209,107,부자의 그릇,"이즈미 마사토 지음, 김윤수 옮김",다산북스,경제경영
202210,107,365일 명화 일력 (윈터 에디션 한정판) (스프링),김영숙 지음,빅피시,예술/대중문화
202211,107,"다산, 어른의 하루","조윤제 지음, 윤연화 그림",청림출판,자기계발
202212,107,코스모스,"칼 세이건 지음, 홍승수 옮김",사이언스북스,과학
